Voltage,Current,Impedance,Power,Energy,Pf,CO2,Hz,category
240.9,0.434,498.5240714,93.9,0.755,0.9,0.753,50.02,1
241.1,0.436,496.065146,94.3,0.755,0.9,0.753,50,1
241,0.438,493.1089844,94.6,0.755,0.9,0.753,49.98,1
241,0.437,494.3210678,94.4,0.755,0.9,0.753,49.96,1
240.6,0.437,492.7501322,94.1,0.755,0.9,0.753,49.96,1
240.7,0.436,494.486996,94,0.755,0.9,0.753,49.96,1
240.6,0.433,498.6959235,93.5,0.756,0.9,0.754,49.96,1
240.6,0.433,497.6291942,93.3,0.756,0.9,0.754,49.96,1
240.4,0.432,498.3281893,93,0.756,0.9,0.754,49.96,1
240.5,0.43,501.3520822,92.7,0.756,0.9,0.754,49.97,1
240.2,0.429,502.0620405,92.4,0.756,0.9,0.754,49.97,1
240.7,0.428,503.8649664,92.3,0.756,0.9,0.754,49.96,1
240.6,0.427,505.679294,92.2,0.757,0.9,0.755,49.96,1
240.8,0.426,506.9540876,92,0.757,0.9,0.755,49.96,1
240.9,0.426,506.4030505,91.9,0.757,0.9,0.755,49.97,1
240.7,0.425,507.6816609,91.7,0.757,0.9,0.755,49.99,1
240.8,0.425,507.6816609,91.7,0.757,0.9,0.755,49.99,1
240.8,0.425,507.1280277,91.6,0.757,0.9,0.755,50,1
240.8,0.424,508.9667141,91.5,0.758,0.9,0.756,50,1
240.9,0.424,508.4104664,91.4,0.758,0.9,0.756,50,1
240.8,0.423,510.8171398,91.4,0.758,0.9,0.756,50,1
241.1,0.423,510.8171398,91.4,0.758,0.9,0.756,49.99,1
241.1,0.423,510.2582589,91.3,0.758,0.9,0.756,49.98,1
241.2,0.422,512.117877,91.2,0.758,0.9,0.756,49.97,1
241.6,0.421,515.1178339,91.3,0.759,0.9,0.757,49.96,1
241.6,0.422,512.6794097,91.3,0.759,0.9,0.757,49.97,1
241.7,0.422,512.6794097,91.3,0.759,0.9,0.757,49.98,1
241.7,0.421,514.5536304,91.2,0.759,0.9,0.757,50.02,1
241.7,0.421,514.5536304,91.2,0.759,0.9,0.757,50.03,1
241.5,0.421,514.5536304,91.2,0.759,0.9,0.757,50.03,1
241.7,0.421,513.9894268,91.1,0.76,0.9,0.758,50.02,1
241.3,0.422,511.5563442,91.1,0.76,0.9,0.758,50.03,1
241.5,0.421,513.9894268,91.1,0.76,0.9,0.758,50.01,1
241.5,0.421,513.9894268,91.1,0.76,0.9,0.758,49.98,1
241.6,0.421,513.4252233,91,0.76,0.9,0.758,49.96,1
241.8,0.421,513.9894268,91.1,0.76,0.9,0.758,49.96,1
241.7,0.421,513.9894268,91.1,0.76,0.9,0.758,49.96,1
242,0.421,513.9894268,91.1,0.761,0.9,0.759,49.96,1
241.8,0.421,513.9894268,91.1,0.761,0.9,0.759,49.97,1
241.7,0.421,513.9894268,91.1,0.761,0.9,0.759,49.97,1
241.7,0.421,513.9894268,91.1,0.761,0.9,0.759,49.96,1
241.8,0.421,513.9894268,91.1,0.761,0.9,0.759,49.97,1
241.5,0.421,514.5536304,91.2,0.761,0.9,0.759,49.96,1
